review_id,place_name,reviewer_name,reviewer_id,local_guide,rating,review_text,likes,date,attributes
Ci9DQUlRQUNvZENodHljRjlvT2xkdGVsSlBhMHR3Um1kT2FubGxaVEJ1Y0hSWk4zYxAB,Cafe Amudham HSR Layout,Florence Sabatini,113772763417721061400,True,1,Pathetic food.... They overload dosa with ghee so that people think it's the best but it's just pathetic...,0,9 hours ago,"{""food"": 1, ""service_rating"": 1, ""atmosphere"": 1}"
Ci9DQUlRQUNvZENodHljRjlvT2xSeWFtdE1TQzFMTlRSdVRXcHlaa2RSV0dwdVgxRRAB,Cafe Amudham HSR Layout,devansh ahuja,107085388989640178072,False,1,"I had the worst mango shake of my life. It mentioned mango ice cream shake and priced at 110, so i thought it would be abbig fancy mango shake topped with ice cream, but it came as a small cup with only ice cream mixed with milk. If you go here, plz don't try any shakes, these people are looting us.",0,10 hours ago,"{""food"": 1, ""service_rating"": 2, ""atmosphere"": 3}"
Ci9DQUlRQUNvZENodHljRjlvT2xCeldHOHhXVlpwWjBSdWNUZGlVRWR3U205d05XYxAB,Cafe Amudham HSR Layout,Kunal,111297569506727218393,False,1,They have terrible customer service as they made us wait for more than an hour just to give us a refund of our money as we paid twice due to some network issues.Even the guy at the reception was not able to help much as he didn't even understand hindi or english we were not able to communicate and they just kept telling wait wait.,0,16 hours ago,"{""meal_type"": ""Breakfast"", ""price_per_person"": ""₹1–200"", ""food"": 1, ""service_rating"": 1, ""atmosphere"": 1}"
Ci9DQUlRQUNvZENodHljRjlvT2xNek1tWXlkVlJ2Ym10cU9URTNVMnRKYzFWc0xWRRAB,Cafe Amudham HSR Layout,Keerthana Annamalai,110288016454961872706,False,1,Worst service Sunday morning by 10am they are telling all types of dosa are over  And very very slow and worst service don't waste your time by going to cafe amudham,0,18 hours ago,
